company,model,Variant,price,engine,fuel,body,seats,transmission,total_details
MarutiSuzuki,S-Cross,1.3LZeta,1043689,1248,Diesel,Crossover,5,Manual,MarutiSuzukiS-Cross1.3LZeta
MarutiSuzuki,VitaraBrezza,Zdi+DualToneAgs,1059742,1248,Diesel,SUV,5,Automatic,MarutiSuzukiVitaraBrezzaZdi+DualToneAgs
MarutiSuzuki,Ciaz,1.3LZetaSmartHybrid,1062689,1248,Diesel,Sedan,5,Manual,MarutiSuzukiCiaz1.3LZetaSmartHybrid
MarutiSuzuki,Ciaz,1.3LAlphaSmartHybrid,1102689,1248,Diesel,Sedan,5,Manual,MarutiSuzukiCiaz1.3LAlphaSmartHybrid
MarutiSuzuki,S-Cross,1.3LAlpha,1143689,1248,Diesel,Crossover,5,Manual,MarutiSuzukiS-Cross1.3LAlpha
MarutiSuzuki,Gypsy,SoftTop,622730,1298,Petrol,SUV,8,Manual,MarutiSuzukiGypsySoftTop
MarutiSuzuki,Gypsy,HardTop,637343,1298,Petrol,SUV,8,Manual,MarutiSuzukiGypsyHardTop
Kia,Seltos,Gtk1.4,1379000,1353,Petrol,SUV,5,Manual,KiaSeltosGtk1.4
Kia,Seltos,Gtx1.4,1529000,1353,Petrol,SUV,5,Manual,KiaSeltosGtx1.4
Kia,Seltos,GtxAt1.4,1629000,1353,Petrol,SUV,5,DCT,KiaSeltosGtxAt1.4
Kia,Seltos,GtxPlus1.4,1629000,1353,Petrol,SUV,5,Manual,KiaSeltosGtxPlus1.4
Toyota,EtiosLiva,Gd,647800,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaGd
Toyota,EtiosLiva,Gxd,686000,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaGxd
Toyota,EtiosLiva,Vd,704000,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaVd
Toyota,EtiosLiva,DualToneVd,720700,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaDualToneVd
Toyota,PlatinumEtios,Gd,734700,1364,Diesel,Sedan,5,Manual,ToyotaPlatinumEtiosGd
Toyota,EtiosLiva,Vxd,745000,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaVxd
Toyota,EtiosLiva,DualToneVxd,756700,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaDualToneVxd
Toyota,EtiosCross,Gd,766000,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosCrossGd
Toyota,EtiosLiva,VxdDualToneLimitedEdition,777700,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosLivaVxdDualToneLimitedEdition
Toyota,EtiosCross,Vd,797500,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosCrossVd
Toyota,PlatinumEtios,Gxd,799600,1364,Diesel,Sedan,5,Manual,ToyotaPlatinumEtiosGxd
Toyota,EtiosCross,1.4XEdition,816000,1364,Diesel,Hatchback,5,Manual,ToyotaEtiosCross1.4XEdition
Toyota,PlatinumEtios,Vd,828600,1364,Diesel,Sedan,5,Manual,ToyotaPlatinumEtiosVd
Toyota,PlatinumEtios,Vxd,888400,1364,Diesel,Sedan,5,Manual,ToyotaPlatinumEtiosVxd
Toyota,PlatinumEtios,VxdLimitedEdition,913400,1364,Diesel,Sedan,5,Manual,ToyotaPlatinumEtiosVxdLimitedEdition
Toyota,CorollaAltis,GDiesel,1771000,1364,Diesel,Sedan,5,Manual,ToyotaCorollaAltisGDiesel
Toyota,CorollaAltis,GlDiesel,1936000,1364,Diesel,Sedan,5,Manual,ToyotaCorollaAltisGlDiesel
Fiat,LineaClassic,1.4,646336,1368,Petrol,Sedan,5,Manual,FiatLineaClassic1.4
Fiat,Linea,ActiveFire,715860,1368,Petrol,Sedan,5,Manual,FiatLineaActiveFire
Fiat,UrbanCross,1.4T-JetEmotion,977516,1368,Petrol,Crossover,5,Manual,FiatUrbanCross1.4T-JetEmotion
Fiat,AbarthPunto,1.4T-Jet,980970,1368,Petrol,Hatchback,5,Manual,FiatAbarthPunto1.4T-Jet
Fiat,AbarthAvventura,1.4T-Jet,989219,1368,Petrol,Crossover,5,Manual,FiatAbarthAvventura1.4T-Jet
Fiat,Linea,T-JetEmotion,997763,1368,Petrol,Sedan,5,Manual,FiatLineaT-JetEmotion
Jeep,Compass,1.4Sport,1560000,1368,Petrol,SUV,5,Manual,JeepCompass1.4Sport
Jeep,Compass,1.4SportPlus,1599000,1368,Petrol,SUV,5,Manual,JeepCompass1.4SportPlus
Jeep,Compass,1.4Longitude(O)At,1900000,1368,Petrol,SUV,5,Automatic,JeepCompass1.4Longitude(O)At
Jeep,Compass,1.4LimitedAt,1996000,1368,Petrol,SUV,5,Automatic,JeepCompass1.4LimitedAt
Jeep,Compass,1.4Limited(O)At,2055000,1368,Petrol,SUV,5,Automatic,JeepCompass1.4Limited(O)At
Jeep,Compass,1.4Limited(O)AtPetrolBlackPack,2070000,1368,Petrol,SUV,5,Automatic,JeepCompass1.4Limited(O)AtPetrolBlackPack
Jeep,Compass,1.4LimitedPlusAtPetrol,2167000,1368,Petrol,SUV,5,Automatic,JeepCompass1.4LimitedPlusAtPetrol
Skoda,Octavia,CorporateEdition1.4Tsi,1549000,1395,Petrol,Sedan,5,Manual,SkodaOctaviaCorporateEdition1.4Tsi
Skoda,Octavia,Ambition1.4Tsi,1599599,1395,Petrol,Sedan,5,Manual,SkodaOctaviaAmbition1.4Tsi
Skoda,Octavia,Style1.4Tsi,1899599,1395,Petrol,Sedan,5,Manual,SkodaOctaviaStyle1.4Tsi
Audi,A3,35TfsiPremiumPlus,2920750,1395,Petrol,Sedan,5,Automatic,AudiA335TfsiPremiumPlus
Audi,A3,35TfsiTechnology,3120750,1395,Petrol,Sedan,5,Automatic,AudiA335TfsiTechnology
Audi,Q3,30TfsiPremium,3496750,1395,Petrol,SUV,5,Automatic,AudiQ330TfsiPremium
Audi,A4,PremiumPlus35Tfsi,4149000,1395,Petrol,Sedan,5,DCT,AudiA4PremiumPlus35Tfsi
Audi,A4,Technology35Tfsi,4507000,1395,Petrol,Sedan,5,DCT,AudiA4Technology35Tfsi
Audi,A3Cabriolet,40Tfsi,5038000,1395,Petrol,Convertible,4,Automatic,AudiA3Cabriolet40Tfsi
Hyundai,EliteI20,Era1.4Crdi,697803,1396,Diesel,Hatchback,5,Manual,HyundaiEliteI20Era1.4Crdi
Hyundai,EliteI20,MagnaPlusCrdi,770803,1396,Diesel,Hatchback,5,Manual,HyundaiEliteI20MagnaPlusCrdi
Hyundai,Verna,1.4VtvtE,817867,1396,Petrol,Sedan,5,Manual,HyundaiVerna1.4VtvtE
Hyundai,EliteI20,SportzPlusCrdi,846103,1396,Diesel,Hatchback,5,Manual,HyundaiEliteI20SportzPlusCrdi
Hyundai,EliteI20,SportzPlusCrdiDualTone,876103,1396,Diesel,Hatchback,5,Manual,HyundaiEliteI20SportzPlusCrdiDualTone
Hyundai,Verna,1.4VtvtEx,933182,1396,Petrol,Sedan,5,Manual,HyundaiVerna1.4VtvtEx
Hyundai,EliteI20,Asta(O)Crdi,934003,1396,Diesel,Hatchback,5,Manual,HyundaiEliteI20Asta(O)Crdi
Hyundai,Verna,1.4CrdiE,942867,1396,Diesel,Sedan,5,Manual,HyundaiVerna1.4CrdiE
Hyundai,I20Active,1.4Sx,993393,1396,Diesel,Hatchback,5,Manual,HyundaiI20Active1.4Sx
