displacement,cylinders,weight,mpg
1497,4,1199,15.4
1497,4,1217,15.4
1497,4,1225,15.4
1497,4,1235,15.4
1497,4,1238,16
1498,4,1289,21.9
1498,4,1301,21.9
1498,4,1306,21.9
2498,4,1750,13
2498,4,1750,13
2498,4,1750,13
1462,4,1180,19.01
1462,4,1180,19.01
1462,4,1180,17.01
1462,4,1180,17.01
2179,4,1865,10.22
2179,4,2510,13.5
1498,4,1228,21.72
1598,4,1187,14.84
1498,4,1210,21.13
1598,4,1137,15.41
2179,4,1785,13.85
2179,4,1785,15.1
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,13.85
2179,4,1785,15.1
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,1785,16
2179,4,2280,17.6
2179,4,2280,17.6
2179,4,2280,17.6
2179,4,2280,17.6
2179,4,2280,17.6
2179,4,2280,17.6
2393,4,1805,15.4
2393,4,1815,15
2393,4,1825,15.4
2393,4,1820,15.4
2393,4,1870,15.1
2694,4,1825,10.83
2694,4,1825,10.83
2393,4,1870,10.75
2393,4,1815,11.25
2755,4,1825,11.25
2755,4,1825,11.25
2393,4,1828,15
2393,4,1815,11.25
2694,4,1870,10.75
2393,4,1805,15.4
2393,4,1825,15.1
1368,6,1562,16.3
1368,6,1537,16.3
1368,6,1562,14.1
1956,6,1537,17.1
1956,6,1551,17.1
1956,6,1551,17.1
1956,6,1562,17.1
1956,6,1562,17.1
1956,6,1641,16.3
1956,6,1641,16.3
1368,6,1562,16.3
1956,6,1562,17.1
1956,6,1641,16.3
1956,6,1537,17.1
1368,6,1537,16.3
1368,6,1562,14.1
1368,6,1562,16.3
1956,6,1562,17.1
1956,6,1641,16.3
1956,6,1562,17.1
1956,6,1551,17.1
1798,4,1220,16.7
1798,4,1260,16.7
1798,4,1280,16.7
1364,4,1270,21
1364,4,1230,21
1798,4,1310,16.7
1799,4,1268,16.5
1799,4,1275,16.5
1799,4,1300,16.8
1597,4,1325,26.8
1597,4,1353,26.8
