Make,Model,Variant,Displacement,Fuel_Type,Body_Type,Seating_Capacity,City_Mileage
Tata,Nano Genx,Xt,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xe,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Emax Xm,624 cc,CNG,Hatchback,4,
Tata,Nano Genx,Xta,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xm,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xma,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Datsun,Redi-Go,D,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,T,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,A,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,S,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,1.0 S,999 cc,Petrol,Hatchback,5,
Datsun,Redi-Go,1.0 S Amt,999 cc,Petrol,Hatchback,5,
Renault,Kwid,Rxe 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Std 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxl 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber 1.0 Mt,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt (O) 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt (O) Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber (O) Mt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber (O) Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Maruti Suzuki,Eeco,5 Str,1196 cc,Petrol,MPV,5,12 kmpl
Maruti Suzuki,Eeco,7 Str,1196 cc,Petrol,MPV,7,12 kmpl
Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196 cc,Petrol,MPV,5,11 kmpl
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196 cc,CNG,MPV,5,
Maruti Suzuki,Eeco,5 Str With Htr Cng,1196 cc,CNG,MPV,5,
Maruti Suzuki,Alto K10,Lxi,998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Vxi,998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Lx,998 cc,Petrol,Hatchback,5,19 kmpl
Maruti Suzuki,Alto K10,Vxi (O),998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Lxi Cng (O),998 cc,CNG,Hatchback,5,
Maruti Suzuki,Alto K10,Vxi Amt (O),998 cc,Petrol,Hatchback,5,14 kmpl
Datsun,Go,D,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O),1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,A (O),1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,A,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,T Vdc,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O) Vdc,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,T Cvt,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O) Cvt,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Maruti Suzuki,Celerio Tour,H2,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio Tour,H2 Cng,998 cc,CNG,Hatchback,5,
Hyundai,Santro,Era Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Magna Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Magna Mt Cng,1086 cc,CNG,Hatchback,5,
Hyundai,Santro,Magna Amt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Sportz Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Sportz Mt Cng,1086 cc,CNG,Hatchback,5,
Hyundai,Santro,Sportz Amt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Asta Mt,1086 cc,Petrol,Hatchback,5,
Tata,Tiago,Revotron Xe,1199 cc,Petrol,Hatchback,5,
Tata,Tiago,Revotron Xt,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xz,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xz Plus,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xz Plus Dual Tone,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xza,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xza Plus,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Tata,Tiago,Revotron Xza Plus Dual Tone,1199 cc,Petrol,Hatchback,5,23.84 kmpl
Maruti Suzuki,Celerio X,Vxi (O),998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Vxi,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Vxi Amt,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Vxi Amt (O),998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Zxi,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Zxi (O),998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Zxi Amt,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio X,Zxi Amt (O),998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Ignis,Alpha 1.2 Amt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Maruti Suzuki,Ignis,Alpha 1.2 Mt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Maruti Suzuki,Ignis,Delta 1.2 Amt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Maruti Suzuki,Ignis,Delta 1.2 Mt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Maruti Suzuki,Ignis,Sigma 1.2 Mt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Maruti Suzuki,Ignis,Zeta 1.2 Amt,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Maruti Suzuki,Ignis,Zeta 1.2 Mt,1197 cc,Petrol,Hatchback,5,20.89 kmpl
Renault,Triber,Rxe,999 cc,Petrol,MUV,7,
Renault,Triber,Rxl,999 cc,Petrol,MUV,7,
Renault,Triber,Rxt,999 cc,Petrol,MUV,7,
Renault,Triber,Rxz,999 cc,Petrol,MUV,7,
Premier,Rio,Gx,1173 cc,Petrol,SUV,5,13 kmpl
Premier,Rio,Ex,1489 cc,Diesel,SUV,5,12 kmpl
Premier,Rio,Glx,1173 cc,Petrol,SUV,5,13 kmpl
Premier,Rio,Dx,1489 cc,Diesel,SUV,5,12 kmpl
Premier,Rio,Lx,1489 cc,Diesel,SUV,5,12 kmpl
Premier,Rio,Crdi4,1248 cc,Diesel,SUV,5,20 kmpl
Toyota,Etios Liva,G,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,V,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Gd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Vx,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Vxd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Vd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Dual Tone V,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Dual Tone Vd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Dual Tone Vx,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Dual Tone Vxd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Gx,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Gxd,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Toyota,Etios Liva,Vx Dual Tone Limited Edition,1197 cc,Petrol,Hatchback,5,15.1 kmpl
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,1364 cc,Diesel,Hatchback,5,20.3 kmpl
Nissan,Micra Active,Xl,1198 cc,Petrol,Hatchback,5,
Nissan,Micra Active,Xv,1198 cc,Petrol,Hatchback,5,19.49 kmpl
Nissan,Micra Active,Xl (O),1198 cc,Petrol,Hatchback,5,
Tata,Bolt,Xt Diesel,1248 cc,Diesel,Hatchback,5,"22,95 kmpl"
Tata,Bolt,Xe Diesel,1248 cc,Diesel,Hatchback,5,"22,95 kmpl"
Tata,Bolt,Xm Diesel,1248 cc,Diesel,Hatchback,5,"22,95 kmpl"
Tata,Bolt,Xms Diesel,1248 cc,Diesel,Hatchback,5,"22,95 kmpl"
Tata,Bolt,Xt Petrol,1193 cc,Petrol,Hatchback,5,"17,57 kmpl"
Tata,Bolt,Xe Petrol,1193 cc,Petrol,Hatchback,5,"17,57 kmpl"
Tata,Bolt,Xm Petrol,1193 cc,Petrol,Hatchback,5,"17,57 kmpl"
Tata,Bolt,Xms Petrol,1193 cc,Petrol,Hatchback,5,"17,57 kmpl"
Hyundai,Xcent Prime,Cng T + (Cng +,1197 cc,CNG + Petrol,Sedan,5,
Hyundai,Xcent Prime,T,1197 cc,Petrol,Sedan,5,
Hyundai,Xcent Prime,T+,1197 cc,Petrol,Sedan,5,
Hyundai,Xcent Prime,Cng T (Cng +,1197 cc,CNG + Petrol,Sedan,5,
Hyundai,Xcent Prime,T+ Crdi,1197 cc,Diesel,Sedan,5,
Hyundai,Xcent Prime,T Crdi,1197 cc,Diesel,Sedan,5,
Maruti Suzuki,Dzire Tour,Ldi,1248 cc,Diesel,Sedan,5,14.6 kmpl
Maruti Suzuki,Dzire Tour,Lxi,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire Tour,Lxi Cng,1197 cc,CNG,Sedan,5,
Hyundai,Elite I20,Era 1.2,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Era 1.4 Crdi,1396 cc,Diesel,Hatchback,5,18.4 kmpl
Hyundai,Elite I20,Magna Plus,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Magna Plus Crdi,1396 cc,Diesel,Hatchback,5,18.4 kmpl
Hyundai,Elite I20,Sportz Plus,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,1396 cc,Diesel,Hatchback,5,18.4 kmpl
Hyundai,Elite I20,Asta (O) 1.2,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Asta (O) Crdi,1396 cc,Diesel,Hatchback,5,18.4 kmpl
Hyundai,Elite I20,Asta (O) Cvt,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Sportz Plus Dual Tone,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Sportz Plus Cvt,1197 cc,Petrol,Hatchback,5,13.3 kmpl
Hyundai,Elite I20,Sportz Plus Crdi,1396 cc,Diesel,Hatchback,5,18.4 kmpl
Hyundai,Aura,E 1.2 Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,S 1.2 Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,S 1.2 Amt Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,Sx 1.2 Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,Sx Plus 1.2 Amt Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,Sx (O) 1.2 Petrol,1197 cc,Petrol,Sedan,5,
Hyundai,Aura,S 1.2 Cng Petrol (Cng +,1197 cc,CNG + Petrol,Sedan,5,
Hyundai,Aura,Sx Plus 1.0 Petrol,998 cc,Petrol,Sedan,5,
Hyundai,Aura,S 1.2 Diesel,1186 cc,Diesel,Sedan,5,
Hyundai,Aura,S 1.2 Amt Diesel,1186 cc,Diesel,Sedan,5,
Hyundai,Aura,Sx Plus 1.2 Amt Diesel,1186 cc,Diesel,Sedan,5,
Hyundai,Aura,Sx (O) 1.2 Diesel,1186 cc,Diesel,Sedan,5,
Volkswagen,Polo,Trendline 1.0L (P),999 cc,Petrol,Hatchback,5,14 kmpl
Volkswagen,Polo,Comfortline 1.0 (P),999 cc,Petrol,Hatchback,5,14 kmpl
Volkswagen,Polo,Highline Plus 1.0 (P),999 cc,Petrol,Hatchback,5,14 kmpl
Volkswagen,Polo,Trendline 1.5L (D),1498 cc,Diesel,Hatchback,5,19 kmpl
Volkswagen,Polo,Comfortline 1.5 (D),1498 cc,Diesel,Hatchback,5,19 kmpl
Volkswagen,Polo,Highline Plus 1.5 (D),1498 cc,Diesel,Hatchback,5,19 kmpl
Volkswagen,Polo,Gt Tsi,1197 cc,Petrol,Hatchback,5,17 kmpl
Volkswagen,Polo,Gt Tdi,1498 cc,Diesel,Hatchback,5,19 kmpl
Maruti Suzuki,Dzire,Lxi,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Vxi,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Ldi,1248 cc,Diesel,Sedan,5,"28,4 kmpl"
Maruti Suzuki,Dzire,Zxi,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Vdi,1248 cc,Diesel,Sedan,5,28.4 kmpl
Maruti Suzuki,Dzire,Vxi Amt,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Zdi Amt,1248 cc,Diesel,Sedan,5,28.4 kmpl
Maruti Suzuki,Dzire,Zdi,1248 cc,Diesel,Sedan,5,"28,4 kmpl"
Maruti Suzuki,Dzire,Zxi Plus,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Zxi At,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Zxi Plus Amt,1197 cc,Petrol,Sedan,5,16.3 kmpl
Maruti Suzuki,Dzire,Zdi Plus,1248 cc,Diesel,Sedan,5,"28,4 kmpl"
Maruti Suzuki,Dzire,Vdi Amt,1248 cc,Diesel,Sedan,5,28.4 kmpl
Maruti Suzuki,Dzire,Zdi Plus Amt,1248 cc,Diesel,Sedan,5,28.4 kmpl
Ford,Freestyle,1.5L Tdci Ambiente,1498 cc,Diesel,Crossover,5,
Ford,Freestyle,1.5L Tdci Titanium,1498 cc,Diesel,Hatchback,5,
Ford,Freestyle,1.5L Tdci Titanium Plus,1498 cc,Diesel,Hatchback,5,
Ford,Freestyle,1.2L Ti-Vct Ambiente,1194 cc,Petrol,Hatchback,5,
Ford,Freestyle,1.2L Ti-Vct Titanium,1194 cc,Petrol,Hatchback,5,
Ford,Freestyle,1.2L Ti-Vct Titanium Plus,1194 cc,Petrol,Hatchback,5,
Ford,Freestyle,1.2L Ti-Vct Trend Plus,1194 cc,Petrol,Crossover,5,
Ford,Freestyle,1.5L Tdci Trend Plus,1498 cc,Diesel,Crossover,5,
Volkswagen,Ameo,Trendline 1.5L Tdi,1498 cc,Diesel,Sedan,5,15.3 kmpl
Volkswagen,Ameo,Comfortline 1.5L Tdi,1498 cc,Diesel,Sedan,5,15.3 kmpl
Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,1498 cc,Diesel,Sedan,5,15.3 kmpl
Volkswagen,Ameo,Highline Plus 1.5L Tdi,1498 cc,Diesel,Sedan,5,15.3 kmpl
Volkswagen,Ameo,Trendline 1.0L,999 cc,Petrol,Sedan,5,
Volkswagen,Ameo,Comfortline 1.0L,999 cc,Petrol,Sedan,5,
Volkswagen,Ameo,Highline Plus 1.0L,999 cc,Petrol,Sedan,5,
Volkswagen,Ameo,Gt Line Tdi Dsg,1498 cc,Diesel,Sedan,5,15.3 kmpl
Ford,Aspire,1.2 Ti-Vct Ambiente,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.2 Ti-Vct Trend Plus,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.2 Ti-Vct Trend,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.5 Tdci Ambiente,1498 cc,Diesel,Sedan,5,
Ford,Aspire,1.5 Tdci Trend,1498 cc,Diesel,Sedan,5,
Ford,Aspire,1.5 Tdci Trend Plus,1498 cc,Diesel,Sedan,5,
Ford,Aspire,1.5 Tdci Titanium,1498 cc,Diesel,Sedan,5,
Ford,Aspire,1.5 Tdci Titanium Plus,1498 cc,Diesel,Sedan,5,
Ford,Aspire,1.2 Ti-Vct Titanium Plus,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.2 Ti-Vct Titanium,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.2 Trend Plus Cng,1194 cc,CNG,Sedan,5,
Ford,Aspire,1.2 Ti-Vct Blu,1194 cc,Petrol,Sedan,5,
Ford,Aspire,1.5 Tdci Blu,1498 cc,Diesel,Sedan,5,
Toyota,Platinum Etios,G,1496 cc,Petrol,Sedan,5,"13,6 kmpl"
Toyota,Platinum Etios,V,1496 cc,Petrol,Sedan,5,"13,6 kmpl"
Toyota,Platinum Etios,Gd,1364 cc,Diesel,Sedan,5,20.32 kmpl
Toyota,Platinum Etios,Vd,1364 cc,Diesel,Sedan,5,20.3 kmpl
Toyota,Platinum Etios,Vxd,1364 cc,Diesel,Sedan,5,20.32 kmpl
Toyota,Platinum Etios,Vx,1496 cc,Petrol,Sedan,5,"13,6 kmpl"
Toyota,Platinum Etios,Gx,1496 cc,Petrol,Sedan,5,13.6 kmpl
Toyota,Platinum Etios,Gxd,1364 cc,Diesel,Sedan,5,20.3 kmpl
Toyota,Platinum Etios,Vxd Limited Edition,1364 cc,Diesel,Sedan,5,20.32 kmpl
Toyota,Platinum Etios,Vx Limited Edition,1496 cc,Petrol,Sedan,5,13.6 kmpl
Toyota,Etios Cross,V,1496 cc,Petrol,Hatchback,5,15 kmpl
Toyota,Etios Cross,G,1197 cc,Petrol,Hatchback,5,"16,78 kmpl"
Toyota,Etios Cross,Vd,1364 cc,Diesel,Hatchback,5,18.1 kmpl
Toyota,Etios Cross,Gd,1364 cc,Diesel,Hatchback,5,18.1 kmpl
Toyota,Etios Cross,1.2 X Edition,1197 cc,Petrol,Hatchback,5,16.78 kmpl
Toyota,Etios Cross,1.4 X Edition,1364 cc,Diesel,Hatchback,5,18.1 kmpl
Mahindra,Verito Vibe,D2,1461 cc,Diesel,Hatchback,5,18 kmpl
Mahindra,Verito Vibe,D4,1461 cc,Diesel,Hatchback,5,18 kmpl
Mahindra,Verito Vibe,D6,1461 cc,Diesel,Hatchback,5,18 kmpl
Fiat,Urban Cross,1.3 Multijet Active,1248 cc,Diesel,Crossover,5,20 kmpl
Fiat,Urban Cross,1.3 Multijet Dynamic,1248 cc,Diesel,Crossover,5,20 kmpl
Fiat,Urban Cross,1.4 T-Jet Emotion,1368 cc,Petrol,Crossover,5,17 kmpl
Fiat,Urban Cross,1.3 Multijet Emotion,1248 cc,Diesel,Crossover,5,20 kmpl
Toyota,Glanza,G Hybrid,1197 cc,Petrol,Hatchback,5,
Toyota,Glanza,V,1197 cc,Petrol,Hatchback,5,
Toyota,Glanza,G Cvt,1197 cc,Petrol,Hatchback,5,
Toyota,Glanza,V Cvt,1197 cc,Petrol,Hatchback,5,
Toyota,Glanza,G Mt,1197 cc,Petrol,Hatchback,5,
Fiat,Avventura,Multijet Dynamic,1248 cc,Diesel,Crossover,5,11.2 kmpl
Fiat,Avventura,Multijet Active,1248 cc,Diesel,Crossover,5,11.2 kmpl
Fiat,Avventura,Multijet Emotion,1248 cc,Diesel,Crossover,5,11.2 kmpl
Honda,Jazz,V Petrol,1199 cc,Petrol,Hatchback,5,11.3 kmpl
Honda,Jazz,Vx Cvt,1199 cc,Petrol,Hatchback,5,11.3 kmpl
Honda,Jazz,Vx Petrol,1199 cc,Petrol,Hatchback,5,11.3 kmpl
Honda,Jazz,V Cvt,1199 cc,Petrol,Hatchback,5,11.3 kmpl
Honda,Jazz,S Diesel,1498 cc,Diesel,Hatchback,5,12 kmpl
Honda,Jazz,V Diesel,1498 cc,Diesel,Hatchback,5,12 kmpl
Honda,Jazz,Vx Diesel,1498 cc,Diesel,Hatchback,5,12 kmpl
Honda,Jazz,Exclusive Edition Cvt,1199 cc,Petrol,Hatchback,5,
Jeep,Compass Trailhawk,2.0 Trailhawk 4X4 At,1956 cc,Diesel,SUV,5,
Jeep,Compass Trailhawk,2.0 Trailhawk (O) 4X4 At,1956 cc,Diesel,SUV,5,
Isuzu,Mu-X,4X2,2999 cc,Diesel,SUV,7,13.8 kmpl
Isuzu,Mu-X,4X4,2999 cc,Diesel,SUV,7,13.8 kmpl
Mahindra,Alturas G4,2Wd At,2157 cc,Diesel,,,
Mahindra,Alturas G4,4Wd At,2157 cc,Diesel,SUV,7,
Volkswagen,Tiguan,Comfortline 2.0L Tdi Amt,1968 cc,Diesel,SUV,5,
Volkswagen,Tiguan,Highline 2.0L Tdi Amt,1968 cc,Diesel,SUV,,
Honda,Cr-V,2Wd Petrol Cvt,1997 cc,Petrol,SUV,5,
Honda,Cr-V,2Wd Diesel At,1597 cc,Diesel,SUV,7,
Honda,Cr-V,Awd Diesel At,1597 cc,Diesel,SUV,7,
Skoda,Superb Sportline,Sportline 1.8L Tsi At,1798 cc,Petrol,Sedan,5,11.3 kmpl
Skoda,Superb Sportline,Sportline 2.0L Tdi At,1968 cc,Diesel,Sedan,5,15.1 kmpl
Audi,A3,35 Tdi Premium Plus,1968 cc,Diesel,Sedan,5,18 kmpl
Audi,A3,35 Tdi Technology,1968 cc,Diesel,Sedan,5,18 kmpl
Audi,A3,35 Tfsi Premium Plus,1395 cc,Petrol,Sedan,5,12.4 kmpl
Audi,A3,35 Tfsi Technology,1395 cc,Petrol,Sedan,5,12.4 kmpl
,Mercedes-Benz B-Class,B 180 Sport,1595 cc,Petrol,MPV,5,9.5 kmpl
,Mercedes-Benz B-Class,B 200 Cdi Sport,2143 cc,Diesel,MPV,5,11.5 kmpl
,Mercedes-Benz B-Class,B 180 Night Edition,1595 cc,Petrol,MPV,5,9.5 kmpl
,Mercedes-Benz B-Class,B 200 Cdi Night Edition,2143 cc,Diesel,MPV,5,11.5 kmpl
,Mercedes-Benz Cla-Class,200 Sport,1991 cc,Petrol,Sedan,5,11.04 kmpl
,Mercedes-Benz Cla-Class,200 Cdi Style,2143 cc,Diesel,Sedan,5,13.9 kmpl
,Mercedes-Benz Cla-Class,200 D Sport,2143 cc,Diesel,Sedan,5,13.9 kmpl
Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1968 cc,Diesel,SUV,5,15.1 kmpl
Skoda,Kodiaq,Laurin And Klement,1968 cc,Diesel,SUV,5,15.1 kmpl
Skoda,Kodiaq,Corporate Edition,1968 cc,Diesel,SUV,5,15.1 kmpl
Dc,Avanti,Standard,2000 cc,Petrol,Coupe,2,8 kmpl
Audi,Q3,30 Tdi Premium Fwd,1968 cc,Diesel,SUV,5,12 kmpl
Audi,Q3,35 Tdi Quattro Premium Plus,1968 cc,Diesel,SUV,5,12 kmpl
Audi,Q3,35 Tdi Quattro Technology,1968 cc,Diesel,SUV,5,12 kmpl
Audi,Q3,30 Tfsi Premium,1395 cc,Petrol,SUV,5,12 kmpl
Mini,Cooper 5 Door,Cooper D,1496 cc,Petrol,Hatchback,5,10.3 kmpl
Mini,Convertible,Cooper S,1998 cc,Petrol,Convertible,4,
Volvo,Xc40,D4 Momentum,1969 cc,Diesel,SUV,5,
Volvo,Xc40,D4 Inscription,1969 cc,Diesel,SUV,5,
Volvo,Xc40,T4 R-Design,1969 cc,Petrol,SUV,5,
Mini,Clubman,Cooper S,1998 cc,Petrol,Hatchback,5,12.3 kmpl
Audi,A4,Premium Plus 35 Tfsi,1395 cc,Petrol,Sedan,5,
Audi,A4,Technology 35 Tfsi,1395 cc,Petrol,Sedan,5,
Mini,John Cooper Works,Hatch,1998 cc,Petrol,"Sports, Hatchback",2,
Jaguar,Xe,S Petrol,1997 cc,Petrol,Sedan,5,
Jaguar,Xe,S Diesel,1999 cc,Diesel,Sedan,4,
Jaguar,Xe,Se Diesel,1999 cc,Diesel,Sedan,4,
Jaguar,Xe,Se Petrol,1997 cc,Petrol,Sedan,5,
Jaguar,Xf,2.0 Prestige,1999 cc,Petrol,Sedan,5,5.7 kmpl
Jaguar,Xf,2.0 Portfolio,1999 cc,Petrol,Sedan,5,5.7 kmpl
Jaguar,Xf,2.0 Portfolio Diesel,1999 cc,Diesel,Sedan,5,5.7 kmpl
Jaguar,Xf,2.0 Prestige Diesel,1999 cc,Diesel,Sedan,5,5.7 kmpl
Jaguar,Xf,2.0 Pure Diesel,1999 cc,Diesel,Sedan,5,5.7 kmpl
Audi,A3 Cabriolet,40 Tfsi,1395 cc,Petrol,Convertible,4,19.2 kmpl
Audi,A6,Premium Plus 45 Tfsi,1984 cc,Petrol,Sedan,5,
Audi,A6,Technology 45 Tfsi,1984 cc,Petrol,Sedan,5,
Bmw,X3,Xdrive 20D Luxury Line,1995 cc,Diesel,SUV,5,16 kmpl
Bmw,X3,Xdrive 30I Luxury Line,1998 cc,Petrol,SUV,5,16 kmpl
Bmw,X3,Xdrive20D Xline,1995 cc,Diesel,SUV,5,16 kmpl
Land Rover,Discovery Sport,S,1999 cc,Diesel,SUV,7,
Land Rover,Discovery Sport,R-Dynamic Se,1999 cc,Diesel,SUV,7,
Volvo,S90,D4 Inscription,1969 cc,Diesel,Sedan,5,"11,44 kmpl"
Audi,S5,Sportback,2995 cc,Petrol,Sedan,5,
Bmw,X5,Xdrive30D Sport,2993 cc,Diesel,SUV,5,
Bmw,X5,Xdrive30D Xline,2993 cc,Diesel,SUV,5,
Bmw,X5,Xdrive40I M Sport,2998 cc,Petrol,SUV,5,
Ford,Mustang,Fastback V8,4951 cc,Petrol,"Sedan, Coupe",4,10 kmpl
Jeep,Grand Cherokee,Limited,2987 cc,Diesel,SUV,5,12.8 kmpl
Jeep,Grand Cherokee,Summit,2987 cc,Diesel,SUV,5,12.8 kmpl
Jeep,Grand Cherokee,Srt,6417 cc,Petrol,SUV,5,12.8 kmpl
Jeep,Grand Cherokee,Summit Petrol,3604 cc,Petrol,SUV,5,
,Mercedes-Benz E-Class Cabriolet,E400,2996 cc,Petrol,Convertible,4,4.5 kmpl
Bmw,M2 Competition,Coupe,2979 cc,Petrol,Coupe,4,12.5-12.7 kmpl
Porsche,718,Boxster,1988 cc,Petrol,Convertible,2,9 kmpl
Porsche,718,Cayman,1988 cc,Petrol,Coupe,2,9 kmpl
,Mercedes-Benz Gls,350 Cdi,2987 cc,Diesel,SUV,5,6.5 kmpl
,Mercedes-Benz Gls,63 Amg,5461 cc,Petrol,SUV,7,9 kmpl
,Mercedes-Benz Gls,400 4Matic,2996 cc,Petrol,SUV,7,9 kmpl
,Mercedes-Benz Gls,Grand Edition Petrol,2996 cc,Petrol,SUV,7,9 kmpl
