index,team,matchday,season,goals,ht_goals
219,PETROL/CNG,4,2019,"32,309","32,309"
220,PETROL/CNG,5,2019,"32,951","32,951"
221,PETROL/CNG,6,2019,"27,822","27,822"
222,PETROL/CNG,7,2019,"31,856","31,856"
223,PETROL/CNG,8,2019,"30,023","30,023"
224,PETROL/CNG,9,2019,"25,976","25,976"
225,PETROL/CNG,10,2019,"38,433","38,433"
226,PETROL/CNG,11,2019,"37,554","37,554"
227,PETROL/CNG,12,2019,"29,358","29,358"
228,PETROL/CNG,1,2018,"41,945","41,945"
229,PETROL/CNG,2,2018,"38,161","38,161"
230,PETROL/CNG,3,2018,"38,297","38,297"
231,PETROL/CNG,4,2018,"38,027","38,027"
232,PETROL/CNG,5,2018,"37,156","37,156"
233,PETROL/CNG,6,2018,"34,404","34,404"
234,PETROL/CNG,7,2018,"34,944","34,944"
235,PETROL/CNG,8,2018,"34,066","34,066"
236,PETROL/CNG,9,2018,"32,160","32,160"
237,PETROL/CNG,10,2018,"34,545","34,545"
238,PETROL/CNG,11,2018,"35,420","35,420"
239,PETROL/CNG,12,2018,"33,086","33,086"
240,PETROL/HYBRID,1,2021,12732,12732
241,PETROL/HYBRID,2,2021,10572,10572
242,PETROL/HYBRID,3,2021,11998,11998
243,PETROL/HYBRID,4,2021,8026,8026
244,PETROL/HYBRID,5,2021,8026,8026
245,PETROL/HYBRID,6,2021,7186,7186
246,PETROL/HYBRID,7,2021,12394,12394
247,PETROL/HYBRID,8,2021,10402,10402
248,PETROL/HYBRID,9,2021,10402,10402
249,PETROL/HYBRID,10,2021,12595,12595
250,PETROL/HYBRID,11,2021,11711,11711
251,PETROL/HYBRID,12,2021,9919,9919
252,PETROL/HYBRID,1,2020,5826,5826
253,PETROL/HYBRID,2,2020,5142,5142
254,PETROL/HYBRID,3,2020,7432,7432
255,PETROL/HYBRID,4,2020,428,428
256,PETROL/HYBRID,5,2020,1674,1674
257,PETROL/HYBRID,6,2020,6306,6306
258,PETROL/HYBRID,7,2020,6263,6263
259,PETROL/HYBRID,8,2020,7829,7829
260,PETROL/HYBRID,9,2020,8962,8962
261,PETROL/HYBRID,10,2020,10381,10381
262,PETROL/HYBRID,11,2020,11950,11950
263,PETROL/HYBRID,12,2020,11630,11630
264,PETROL/HYBRID,1,2019,"6,583","6,583"
265,PETROL/HYBRID,2,2019,"5,414","5,414"
266,PETROL/HYBRID,3,2019,"6,080","6,080"
267,PETROL/HYBRID,4,2019,"6,513","6,513"
268,PETROL/HYBRID,5,2019,"6,664","6,664"
269,PETROL/HYBRID,6,2019,"6,115","6,115"
270,PETROL/HYBRID,7,2019,"5,705","5,705"
271,PETROL/HYBRID,8,2019,"5,674","5,674"
272,PETROL/HYBRID,9,2019,"5,772","5,772"
273,PETROL/HYBRID,10,2019,"8,605","8,605"
274,PETROL/HYBRID,11,2019,"7,009","7,009"
275,PETROL/HYBRID,12,2019,"5,354","5,354"
276,PETROL/HYBRID,1,2018,35,35
277,PETROL/HYBRID,2,2018,38,38
278,PETROL/HYBRID,3,2018,68,68
279,PETROL/HYBRID,4,2018,76,76
280,PETROL/HYBRID,5,2018,55,55
281,PETROL/HYBRID,6,2018,84,84
282,PETROL/HYBRID,7,2018,49,49
283,PETROL/HYBRID,8,2018,243,243
284,PETROL/HYBRID,9,2018,"1,652","1,652"
285,PETROL/HYBRID,10,2018,"2,339","2,339"
286,PETROL/HYBRID,11,2018,"2,709","2,709"
287,PETROL/HYBRID,12,2018,"4,243","4,243"
